[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
   1010 ns 0x000000044 0x0001f0f13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1020 ns 0x000000044 0x0001f0f13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1030 ns 0x000000044 0x001c00def     1     1           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1040 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   1050 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   1060 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   1070 ns 0x000000044 0x001c00def     0     0           0 0x000000048 0x000000000 0x000000000  0x00     0     0
   1080 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   1090 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   1100 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   1110 ns 0x000000060 0x001c00def     1     0           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   1120 ns 0x000000060 0x0001f8f93     1     1           0 0x000000064 0x000000000 0x000000000  0x00     0     0
   1130 ns 0x000000060 0x0001f8f93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1140 ns 0x000000060 0x0001f8f93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1150 ns 0x000000060 0x0001f8f93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1160 ns 0x000000060 0x0001f8f93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1170 ns 0x000000064 0x0001f8f93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
   1180 ns 0x000000064 0x0001f8f93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
