[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
    260 ns 0x000000008 0x00fe02823     0     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     1     0
    270 ns 0x000000008 0x00fe02823     0     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     1     0
    280 ns 0x000000008 0x00fe02823     0     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     1     0
    290 ns 0x000000008 0x00fe02823     0     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     1     1
    300 ns 0x000000008 0x00fe02823     0     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    310 ns 0x00000000c 0x00fe02823     1     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    320 ns 0x00000000c 0x00fe02823     1     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    330 ns 0x00000000c 0x00fe02823     1     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    340 ns 0x00000000c 0x00fe02823     1     0           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    350 ns 0x00000000c 0x0deadceb7     1     1           1 0x0000000f0 0x000000000 0x0deadbeef  0x0f     0     0
    360 ns 0x00000000c 0x0deadceb7     0     0           0 0x0deadc000 0x000000000 0x0deadbeef  0x00     0     0
    370 ns 0x00000000c 0x0deadceb7     0     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    380 ns 0x00000000c 0x0deadceb7     0     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    390 ns 0x00000000c 0x0deadceb7     0     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    400 ns 0x000000010 0x0deadceb7     1     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    410 ns 0x000000010 0x0deadceb7     1     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    420 ns 0x000000010 0x0deadceb7     1     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    430 ns 0x000000010 0x0deadceb7     1     0           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    440 ns 0x000000010 0x0ee0e8e93     1     1           0 0x0deadc000 0x000000000 0x000000000  0x00     0     0
    450 ns 0x000000010 0x0ee0e8e93     0     0           0 0x0fffffee0 0x000000000 0x000000000  0x00     0     0
    460 ns 0x000000010 0x0ee0e8e93     0     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    470 ns 0x000000010 0x0ee0e8e93     0     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    480 ns 0x000000010 0x0ee0e8e93     0     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    490 ns 0x000000014 0x0ee0e8e93     1     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    500 ns 0x000000014 0x0ee0e8e93     1     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    510 ns 0x000000014 0x0ee0e8e93     1     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    520 ns 0x000000014 0x0ee0e8e93     1     0           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    530 ns 0x000000014 0x00f002f83     1     1           0 0x0deadbee0 0x000000000 0x000000000  0x00     0     0
    540 ns 0x000000014 0x00f002f83     0     0           0 0x0deadc0f0 0x000000000 0x000000000  0x00     0     0
    550 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x000000000 0x000000000  0x00     0     0
    560 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x000000000 0x000000000  0x00     1     0
    570 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     1
    580 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    590 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    600 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    610 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    620 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    630 ns 0x000000018 0x0001e8e93     1     1           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
    640 ns 0x000000018 0x0001e8e93     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
    650 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    660 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    670 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    680 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    690 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    700 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    710 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    720 ns 0x00000001c 0x0001e8e93     1     1           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    730 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee1 0x0deadbeef 0x000000000  0x00     0     0
    740 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    750 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    760 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    770 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    780 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    790 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    800 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    810 ns 0x000000020 0x0001e8e93     1     1           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    820 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee2 0x0deadbeef 0x000000000  0x00     0     0
    830 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    840 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    850 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    860 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    870 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    880 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    890 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    900 ns 0x000000024 0x0ffdf98e3     1     1           0 0x0deadbee3 0x0deadbeef 0x000000000  0x00     0     0
    910 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
    920 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    930 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    940 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    950 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    960 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    970 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    980 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
    990 ns 0x000000014 0x00f002f83     1     1           0 0x000000001 0x0deadbeef 0x0deadbee3  0x00     0     0
      1 us 0x000000014 0x00f002f83     0     0           0 0x0deadbfdf 0x0deadbeef 0x0deadbee3  0x00     0     0
   1010 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1020 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     0
   1030 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     1
   1040 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1050 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1060 ns 0x000000018 0x0001e8e93     1     1           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1070 ns 0x000000018 0x0001e8e93     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   1080 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1090 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1100 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1110 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1120 ns 0x00000001c 0x0001e8e93     1     1           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1130 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee4 0x0deadbeef 0x000000000  0x00     0     0
   1140 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1150 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1160 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1170 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1180 ns 0x000000020 0x0001e8e93     1     1           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1190 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee5 0x0deadbeef 0x000000000  0x00     0     0
   1200 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1210 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1220 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1230 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1240 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1250 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1260 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1270 ns 0x000000024 0x0ffdf98e3     1     1           0 0x0deadbee6 0x0deadbeef 0x000000000  0x00     0     0
   1280 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   1290 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1300 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1310 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1320 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1330 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1340 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1350 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1360 ns 0x000000014 0x00f002f83     1     1           0 0x000000001 0x0deadbeef 0x0deadbee6  0x00     0     0
   1370 ns 0x000000014 0x00f002f83     0     0           0 0x0deadbfdf 0x0deadbeef 0x0deadbee6  0x00     0     0
   1380 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1390 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     0
   1400 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     1
   1410 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1420 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1430 ns 0x000000018 0x0001e8e93     1     1           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1440 ns 0x000000018 0x0001e8e93     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   1450 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1460 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1470 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1480 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1490 ns 0x00000001c 0x0001e8e93     1     1           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1500 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee7 0x0deadbeef 0x000000000  0x00     0     0
   1510 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1520 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1530 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1540 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1550 ns 0x000000020 0x0001e8e93     1     1           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1560 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee8 0x0deadbeef 0x000000000  0x00     0     0
   1570 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1580 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1590 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1600 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1610 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1620 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1630 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1640 ns 0x000000024 0x0ffdf98e3     1     1           0 0x0deadbee9 0x0deadbeef 0x000000000  0x00     0     0
   1650 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   1660 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1670 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1680 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1690 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1700 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1710 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1720 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1730 ns 0x000000014 0x00f002f83     1     1           0 0x000000001 0x0deadbeef 0x0deadbee9  0x00     0     0
   1740 ns 0x000000014 0x00f002f83     0     0           0 0x0deadbfdf 0x0deadbeef 0x0deadbee9  0x00     0     0
   1750 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1760 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     0
   1770 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     1
   1780 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1790 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1800 ns 0x000000018 0x0001e8e93     1     1           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   1810 ns 0x000000018 0x0001e8e93     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   1820 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1830 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1840 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1850 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1860 ns 0x00000001c 0x0001e8e93     1     1           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1870 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeea 0x0deadbeef 0x000000000  0x00     0     0
   1880 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1890 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1900 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1910 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1920 ns 0x000000020 0x0001e8e93     1     1           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1930 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbeeb 0x0deadbeef 0x000000000  0x00     0     0
   1940 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   1950 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   1960 ns 0x000000020 0x0001e8e93     0     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   1970 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   1980 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   1990 ns 0x000000024 0x0001e8e93     1     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
      2 us 0x000000024 0x0001e8e93     1     0           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   2010 ns 0x000000024 0x0ffdf98e3     1     1           0 0x0deadbeec 0x0deadbeef 0x000000000  0x00     0     0
   2020 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   2030 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2040 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2050 ns 0x000000024 0x0ffdf98e3     0     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2060 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2070 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2080 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2090 ns 0x000000014 0x0ffdf98e3     1     0           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2100 ns 0x000000014 0x00f002f83     1     1           0 0x000000001 0x0deadbeef 0x0deadbeec  0x00     0     0
   2110 ns 0x000000014 0x00f002f83     0     0           0 0x0deadbfdf 0x0deadbeef 0x0deadbeec  0x00     0     0
   2120 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   2130 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     0
   2140 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     1     1
   2150 ns 0x000000014 0x00f002f83     0     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   2160 ns 0x000000018 0x00f002f83     1     0           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   2170 ns 0x000000018 0x0001e8e93     1     1           0 0x0000000f0 0x0deadbeef 0x000000000  0x00     0     0
   2180 ns 0x000000018 0x0001e8e93     0     0           0 0x000000001 0x0deadbeef 0x000000000  0x00     0     0
   2190 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2200 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2210 ns 0x000000018 0x0001e8e93     0     0           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2220 ns 0x00000001c 0x0001e8e93     1     0           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2230 ns 0x00000001c 0x0001e8e93     1     1           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2240 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeed 0x0deadbeef 0x000000000  0x00     0     0
   2250 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeee 0x0deadbeef 0x000000000  0x00     0     0
   2260 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeee 0x0deadbeef 0x000000000  0x00     0     0
   2270 ns 0x00000001c 0x0001e8e93     0     0           0 0x0deadbeee 0x0deadbeef 0x000000000  0x00     0     0
   2280 ns 0x000000020 0x0001e8e93     1     0           0 0x0deadbeee 0x0deadbeef 0x000000000  0x00     0     0
